trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-57.47487010938403,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,8,-64.27339092877638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,9,-44.46973638646828,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,9,-41.81330437213059,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,13,-40.67773065695721,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-78.96651793274066,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-52.26291171248696,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,3,-170.87312706236767,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 3}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,13,-69.1505135805016,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,17,1.7881707682352097,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-85.66581672251453,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-116.73197522572563,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-36.65662403329752,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,11,-59.51773545170439,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,9,-38.511621373147584,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,11,-61.24846342269345,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,0,-89.1823055927778,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-67.31642159579766,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",30,17,7.816763889413259,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-67.79781667388801,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,3,-86.5704718541772,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",30,4,-127.78563203212997,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 3}",1
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,3,-48.039626884918015,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,11,17.78499580040568,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-120.66753017830031,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,8,-80.93349881072386,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,-33.13456208866927,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",30,15,-77.42682666850826,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",25,10,-40.999802837938134,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,7,-28.80384391982119,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,0,-0.9693132971673454,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,12,-5.2800318394457495,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,4,-40.15551486688839,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,0,-25.396631815902946,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,11,-21.888290844066372,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",30,19,16.506986074477325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,15,5.765607721391868,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,0,-123.78311102274799,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,9,10.619424053874976,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-41.82309836050342,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,0,-19.610687423347727,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,0,-12.937502571750885,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,13,-42.971681053087835,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-8.269261401347235,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,11,-27.8896654509673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,8,22.46465009031102,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,-45.23076381302698,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,7,-2.745383999432876,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,13,19.14074683728166,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,15,-3.5914418514152047,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,5,3.504397784030992,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,15,1.7356846639015868,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,13,-34.55494309624121,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,7,12.587554017529907,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",30,9,-76.30003344194562,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,6,-56.69247559506861,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 0}",1
